state,district,taluk,place,type,price,rating
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Food Court 0,restaurant,645,5.0
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Beach 1,place,6,4.9
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Food Court 2,restaurant,202,3.9
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Inn 3,hotel,1312,3.6
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Palace 4,hotel,3778,3.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hotel 5,hotel,3076,4.2
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Temple 6,place,35,3.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Restaurant 7,restaurant,261,4.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Food Court 8,restaurant,565,4.3
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Food Court 9,restaurant,619,3.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Cafe 10,restaurant,121,3.9
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Stay 11,hotel,1628,4.4
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Beach 12,place,244,4.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hill 13,place,266,4.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Fort 14,place,58,4.7
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hill 15,place,70,4.1
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hotel 16,hotel,1510,4.8
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hill 17,place,69,3.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Fort 18,place,125,3.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hotel 19,hotel,887,4.9
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hotel 20,hotel,1034,4.0
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Mess 21,restaurant,795,4.3
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Temple 22,place,295,5.0
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Mess 23,restaurant,454,4.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Stay 24,hotel,3145,3.7
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Beach 25,place,49,4.1
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Cafe 26,restaurant,568,3.6
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Resort 27,hotel,829,3.9
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Beach 28,place,223,3.7
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Stay 29,hotel,2251,4.4
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hotel 30,hotel,3308,4.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Cafe 31,restaurant,614,3.9
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Lake 32,place,299,4.6
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Temple 33,place,274,4.6
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Stay 34,hotel,2501,4.8
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Mess 35,restaurant,467,4.4
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Stay 36,hotel,1281,4.4
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Beach 37,place,109,4.7
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hotel 38,hotel,2939,4.2
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hill 39,place,248,3.8
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hotel 40,hotel,2154,4.3
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hotel 41,hotel,1531,3.9
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Restaurant 42,restaurant,500,4.7
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Food Court 43,restaurant,139,4.3
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Lake 44,place,118,3.6
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Restaurant 45,restaurant,454,4.5
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Cafe 46,restaurant,766,4.1
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Resort 47,hotel,1610,4.9
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Hill 48,place,299,4.4
Karnataka,Bangalore Urban,Bangalore North,Bangalore North Restaurant 49,restaurant,248,3.5
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Beach 0,place,147,5.0
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Restaurant 1,restaurant,532,4.4
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Resort 2,hotel,2165,3.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Lake 3,place,167,3.9
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Lake 4,place,120,4.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Mess 5,restaurant,474,4.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Fort 6,place,280,4.3
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Mess 7,restaurant,707,4.1
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Stay 8,hotel,3384,4.0
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hotel 9,hotel,3468,3.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Mess 10,restaurant,127,3.5
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Stay 11,hotel,4671,3.8
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Restaurant 12,restaurant,622,4.2
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Palace 13,hotel,2591,3.8
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hotel 14,hotel,3922,4.9
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Fort 15,place,27,4.8
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Fort 16,place,221,3.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Park 17,place,24,4.1
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Mess 18,restaurant,267,4.1
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hill 19,place,11,4.3
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Mess 20,restaurant,470,5.0
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Food Court 21,restaurant,744,4.4
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Fort 22,place,7,4.7
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Resort 23,hotel,4396,3.9
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Food Court 24,restaurant,182,3.7
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Inn 25,hotel,2112,4.1
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hill 26,place,297,3.8
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Restaurant 27,restaurant,642,4.9
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Stay 28,hotel,4458,4.8
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Palace 29,hotel,2575,4.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hotel 30,hotel,2810,3.9
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Resort 31,hotel,952,4.3
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hill 32,place,54,4.3
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Fort 33,place,268,3.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hotel 34,hotel,1876,4.2
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Cafe 35,restaurant,327,3.7
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Park 36,place,68,4.2
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Stay 37,hotel,2661,4.8
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hotel 38,hotel,2471,4.1
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Resort 39,hotel,4075,3.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Cafe 40,restaurant,752,4.1
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hotel 41,hotel,1786,4.8
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hotel 42,hotel,2158,3.7
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Food Court 43,restaurant,269,4.0
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Mess 44,restaurant,172,4.7
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Fort 45,place,262,4.9
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Temple 46,place,273,4.0
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Fort 47,place,148,3.5
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Hotel 48,hotel,4872,4.6
Karnataka,Bangalore Urban,Bangalore South,Bangalore South Cafe 49,restaurant,369,3.7
Karnataka,Mysore,Mysore,Mysore Palace 0,hotel,1452,4.6
Karnataka,Mysore,Mysore,Mysore Stay 1,hotel,2652,3.9
Karnataka,Mysore,Mysore,Mysore Stay 2,hotel,1511,3.9
Karnataka,Mysore,Mysore,Mysore Hotel 3,hotel,1698,4.1
Karnataka,Mysore,Mysore,Mysore Stay 4,hotel,2572,4.0
Karnataka,Mysore,Mysore,Mysore Inn 5,hotel,1999,4.5
Karnataka,Mysore,Mysore,Mysore Temple 6,place,233,4.0
Karnataka,Mysore,Mysore,Mysore Hill 7,place,23,4.8
Karnataka,Mysore,Mysore,Mysore Stay 8,hotel,2348,3.6
Karnataka,Mysore,Mysore,Mysore Lake 9,place,137,3.7
Karnataka,Mysore,Mysore,Mysore Stay 10,hotel,3075,3.7
Karnataka,Mysore,Mysore,Mysore Inn 11,hotel,4306,4.6
Karnataka,Mysore,Mysore,Mysore Palace 12,hotel,3696,4.3
Karnataka,Mysore,Mysore,Mysore Cafe 13,restaurant,342,4.4
Karnataka,Mysore,Mysore,Mysore Beach 14,place,122,3.6
Karnataka,Mysore,Mysore,Mysore Food Court 15,restaurant,396,4.5
Karnataka,Mysore,Mysore,Mysore Food Court 16,restaurant,601,3.9
Karnataka,Mysore,Mysore,Mysore Mess 17,restaurant,126,4.5
Karnataka,Mysore,Mysore,Mysore Restaurant 18,restaurant,591,4.7
Karnataka,Mysore,Mysore,Mysore Beach 19,place,247,3.6
Karnataka,Mysore,Mysore,Mysore Restaurant 20,restaurant,417,4.3
